"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2008","Netherlands","Iraq","Total","Total","Asylum applicant","Person","5,310",""
"2008","Netherlands","Libya","Total","Total","Asylum applicant","Person","80",""
"2008","Netherlands","Syria","Total","Total","Asylum applicant","Person","80",""
"2008","Netherlands","Yemen","Total","Total","Asylum applicant","Person","10",""
"2008","Norway","Ukraine","Total","Total","Asylum applicant","Person","20",""
"2008","Norway","Afghanistan","Total","Total","Asylum applicant","Person","1,365",""
"2008","Norway","Iraq","Total","Total","Asylum applicant","Person","3,135",""
"2008","Norway","Libya","Total","Total","Asylum applicant","Person","80",""
"2008","Norway","Syria","Total","Total","Asylum applicant","Person","115",""
"2008","Norway","Yemen","Total","Total","Asylum applicant","Person","80",""
"2008","Poland","Ukraine","Total","Total","Asylum applicant","Person","40",""
"2008","Poland","Afghanistan","Total","Total","Asylum applicant","Person","10",""
"2008","Poland","Iraq","Total","Total","Asylum applicant","Person","70",""
"2008","Poland","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Poland","Syria","Total","Total","Asylum applicant","Person","10",""
"2008","Poland","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Portugal","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Portugal","Afghanistan","Total","Total","Asylum applicant","Person","0",""
"2008","Portugal","Iraq","Total","Total","Asylum applicant","Person","5",""
"2008","Portugal","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Portugal","Syria","Total","Total","Asylum applicant","Person","0",""
"2008","Portugal","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Romania","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Romania","Afghanistan","Total","Total","Asylum applicant","Person","5",""
"2008","Romania","Iraq","Total","Total","Asylum applicant","Person","175",""
"2008","Romania","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Romania","Syria","Total","Total","Asylum applicant","Person","15",""
"2008","Romania","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Sweden","Ukraine","Total","Total","Asylum applicant","Person","55",""
"2008","Sweden","Afghanistan","Total","Total","Asylum applicant","Person","810",""
"2008","Sweden","Iraq","Total","Total","Asylum applicant","Person","6,325",""
"2008","Sweden","Libya","Total","Total","Asylum applicant","Person","645",""
"2008","Sweden","Syria","Total","Total","Asylum applicant","Person","550",""
"2008","Sweden","Yemen","Total","Total","Asylum applicant","Person","130",""
"2008","Slovenia","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2008","Slovenia","Afghanistan","Total","Total","Asylum applicant","Person","10",""
"2008","Slovenia","Iraq","Total","Total","Asylum applicant","Person","0",""
"2008","Slovenia","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Slovenia","Syria","Total","Total","Asylum applicant","Person","0",""
"2008","Slovenia","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","Slovakia","Ukraine","Total","Total","Asylum applicant","Person","30",""
"2008","Slovakia","Afghanistan","Total","Total","Asylum applicant","Person","70",""
"2008","Slovakia","Iraq","Total","Total","Asylum applicant","Person","40",""
"2008","Slovakia","Libya","Total","Total","Asylum applicant","Person","0",""
"2008","Slovakia","Syria","Total","Total","Asylum applicant","Person","5",""
"2008","Slovakia","Yemen","Total","Total","Asylum applicant","Person","0",""
"2008","United Kingdom","Ukraine","Total","Total","Asylum applicant","Person",":",""
"2008","United Kingdom","Afghanistan","Total","Total","Asylum applicant","Person",":",""
"2008","United Kingdom","Iraq","Total","Total","Asylum applicant","Person",":",""
"2008","United Kingdom","Libya","Total","Total","Asylum applicant","Person",":",""
"2008","United Kingdom","Syria","Total","Total","Asylum applicant","Person",":",""
"2008","United Kingdom","Yemen","Total","Total","Asylum applicant","Person",":",""
"2009","Austria","Ukraine","Total","Total","Asylum applicant","Person","120",""
"2009","Austria","Afghanistan","Total","Total","Asylum applicant","Person","2,215",""
"2009","Austria","Iraq","Total","Total","Asylum applicant","Person","395",""
"2009","Austria","Libya","Total","Total","Asylum applicant","Person","10",""
"2009","Austria","Syria","Total","Total","Asylum applicant","Person","280",""
"2009","Austria","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Belgium","Ukraine","Total","Total","Asylum applicant","Person","35",""
"2009","Belgium","Afghanistan","Total","Total","Asylum applicant","Person","2,055",""
"2009","Belgium","Iraq","Total","Total","Asylum applicant","Person","1,535",""
"2009","Belgium","Libya","Total","Total","Asylum applicant","Person","20",""
"2009","Belgium","Syria","Total","Total","Asylum applicant","Person","430",""
"2009","Belgium","Yemen","Total","Total","Asylum applicant","Person","20",""
"2009","Bulgaria","Ukraine","Total","Total","Asylum applicant","Person","10",""
"2009","Bulgaria","Afghanistan","Total","Total","Asylum applicant","Person","60",""
"2009","Bulgaria","Iraq","Total","Total","Asylum applicant","Person","305",""
"2009","Bulgaria","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Bulgaria","Syria","Total","Total","Asylum applicant","Person","30",""
"2009","Bulgaria","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Switzerland","Ukraine","Total","Total","Asylum applicant","Person","30",""
"2009","Switzerland","Afghanistan","Total","Total","Asylum applicant","Person","750",""
"2009","Switzerland","Iraq","Total","Total","Asylum applicant","Person","935",""
"2009","Switzerland","Libya","Total","Total","Asylum applicant","Person","35",""
"2009","Switzerland","Syria","Total","Total","Asylum applicant","Person","400",""
"2009","Switzerland","Yemen","Total","Total","Asylum applicant","Person","85",""
"2009","Cyprus","Ukraine","Total","Total","Asylum applicant","Person","25",""
"2009","Cyprus","Afghanistan","Total","Total","Asylum applicant","Person","50",""
"2009","Cyprus","Iraq","Total","Total","Asylum applicant","Person","0",""
"2009","Cyprus","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Cyprus","Syria","Total","Total","Asylum applicant","Person","220",""
"2009","Cyprus","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Czech Republic","Ukraine","Total","Total","Asylum applicant","Person","200",""
"2009","Czech Republic","Afghanistan","Total","Total","Asylum applicant","Person","0",""
"2009","Czech Republic","Iraq","Total","Total","Asylum applicant","Person","10",""
"2009","Czech Republic","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Czech Republic","Syria","Total","Total","Asylum applicant","Person","45",""
"2009","Czech Republic","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Germany (until 1990 former territory of the FRG)","Ukraine","Total","Total","Asylum applicant","Person","85",""
"2009","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Asylum applicant","Person","3,520",""
"2009","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Asylum applicant","Person","7,320",""
"2009","Germany (until 1990 former territory of the FRG)","Libya","Total","Total","Asylum applicant","Person","20",""
"2009","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Asylum applicant","Person","1,175",""
"2009","Germany (until 1990 former territory of the FRG)","Yemen","Total","Total","Asylum applicant","Person","30",""
"2009","Denmark","Ukraine","Total","Total","Asylum applicant","Person","5",""
"2009","Denmark","Afghanistan","Total","Total","Asylum applicant","Person","1,045",""
"2009","Denmark","Iraq","Total","Total","Asylum applicant","Person","310",""
"2009","Denmark","Libya","Total","Total","Asylum applicant","Person","20",""
"2009","Denmark","Syria","Total","Total","Asylum applicant","Person","380",""
"2009","Denmark","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Estonia","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2009","Estonia","Afghanistan","Total","Total","Asylum applicant","Person","10",""
"2009","Estonia","Iraq","Total","Total","Asylum applicant","Person","0",""
"2009","Estonia","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Estonia","Syria","Total","Total","Asylum applicant","Person","5",""
"2009","Estonia","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Greece","Ukraine","Total","Total","Asylum applicant","Person","50",""
"2009","Greece","Afghanistan","Total","Total","Asylum applicant","Person","1,510",""
"2009","Greece","Iraq","Total","Total","Asylum applicant","Person","885",""
"2009","Greece","Libya","Total","Total","Asylum applicant","Person","5",""
"2009","Greece","Syria","Total","Total","Asylum applicant","Person","965",""
"2009","Greece","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Spain","Ukraine","Total","Total","Asylum applicant","Person","10",""
"2009","Spain","Afghanistan","Total","Total","Asylum applicant","Person","40",""
"2009","Spain","Iraq","Total","Total","Asylum applicant","Person","35",""
"2009","Spain","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Spain","Syria","Total","Total","Asylum applicant","Person","30",""
"2009","Spain","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","European Union (28 countries)","Ukraine","Total","Total","Asylum applicant","Person","935","d"
"2009","European Union (28 countries)","Afghanistan","Total","Total","Asylum applicant","Person","20,455","d"
"2009","European Union (28 countries)","Iraq","Total","Total","Asylum applicant","Person","18,845","d"
"2009","European Union (28 countries)","Libya","Total","Total","Asylum applicant","Person","700","d"
"2009","European Union (28 countries)","Syria","Total","Total","Asylum applicant","Person","4,750","d"
"2009","European Union (28 countries)","Yemen","Total","Total","Asylum applicant","Person","265","d"
"2009","Finland","Ukraine","Total","Total","Asylum applicant","Person","5",""
"2009","Finland","Afghanistan","Total","Total","Asylum applicant","Person","405",""
"2009","Finland","Iraq","Total","Total","Asylum applicant","Person","1,130",""
"2009","Finland","Libya","Total","Total","Asylum applicant","Person","15",""
"2009","Finland","Syria","Total","Total","Asylum applicant","Person","35",""
"2009","Finland","Yemen","Total","Total","Asylum applicant","Person","5",""
"2009","France","Ukraine","Total","Total","Asylum applicant","Person","75",""
"2009","France","Afghanistan","Total","Total","Asylum applicant","Person","715",""
"2009","France","Iraq","Total","Total","Asylum applicant","Person","605",""
"2009","France","Libya","Total","Total","Asylum applicant","Person","5",""
"2009","France","Syria","Total","Total","Asylum applicant","Person","65",""
"2009","France","Yemen","Total","Total","Asylum applicant","Person","5",""
"2009","Croatia","Ukraine","Total","Total","Asylum applicant","Person",":",""
"2009","Croatia","Afghanistan","Total","Total","Asylum applicant","Person",":",""
"2009","Croatia","Iraq","Total","Total","Asylum applicant","Person",":",""
"2009","Croatia","Libya","Total","Total","Asylum applicant","Person",":",""
"2009","Croatia","Syria","Total","Total","Asylum applicant","Person",":",""
"2009","Croatia","Yemen","Total","Total","Asylum applicant","Person",":",""
"2009","Hungary","Ukraine","Total","Total","Asylum applicant","Person","10",""
"2009","Hungary","Afghanistan","Total","Total","Asylum applicant","Person","1,195",""
"2009","Hungary","Iraq","Total","Total","Asylum applicant","Person","55",""
"2009","Hungary","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Hungary","Syria","Total","Total","Asylum applicant","Person","20",""
"2009","Hungary","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Ireland","Ukraine","Total","Total","Asylum applicant","Person","15",""
"2009","Ireland","Afghanistan","Total","Total","Asylum applicant","Person","70",""
"2009","Ireland","Iraq","Total","Total","Asylum applicant","Person","75",""
"2009","Ireland","Libya","Total","Total","Asylum applicant","Person","5",""
"2009","Ireland","Syria","Total","Total","Asylum applicant","Person","5",""
"2009","Ireland","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Iceland","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2009","Iceland","Afghanistan","Total","Total","Asylum applicant","Person","0",""
"2009","Iceland","Iraq","Total","Total","Asylum applicant","Person","5",""
"2009","Iceland","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Iceland","Syria","Total","Total","Asylum applicant","Person","5",""
"2009","Iceland","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Italy","Ukraine","Total","Total","Asylum applicant","Person","10",""
"2009","Italy","Afghanistan","Total","Total","Asylum applicant","Person","615",""
"2009","Italy","Iraq","Total","Total","Asylum applicant","Person","405",""
"2009","Italy","Libya","Total","Total","Asylum applicant","Person","15",""
"2009","Italy","Syria","Total","Total","Asylum applicant","Person","105",""
"2009","Italy","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Liechtenstein","Ukraine","Total","Total","Asylum applicant","Person","5",""
"2009","Liechtenstein","Afghanistan","Total","Total","Asylum applicant","Person","0",""
"2009","Liechtenstein","Iraq","Total","Total","Asylum applicant","Person","0",""
"2009","Liechtenstein","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Liechtenstein","Syria","Total","Total","Asylum applicant","Person","5",""
"2009","Liechtenstein","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Lithuania","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2009","Lithuania","Afghanistan","Total","Total","Asylum applicant","Person","15",""
"2009","Lithuania","Iraq","Total","Total","Asylum applicant","Person","15",""
"2009","Lithuania","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Lithuania","Syria","Total","Total","Asylum applicant","Person","5",""
"2009","Lithuania","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Luxembourg","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2009","Luxembourg","Afghanistan","Total","Total","Asylum applicant","Person","5",""
"2009","Luxembourg","Iraq","Total","Total","Asylum applicant","Person","65",""
"2009","Luxembourg","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Luxembourg","Syria","Total","Total","Asylum applicant","Person","0",""
"2009","Luxembourg","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Latvia","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2009","Latvia","Afghanistan","Total","Total","Asylum applicant","Person","20",""
"2009","Latvia","Iraq","Total","Total","Asylum applicant","Person","0",""
"2009","Latvia","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Latvia","Syria","Total","Total","Asylum applicant","Person","5",""
"2009","Latvia","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Malta","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2009","Malta","Afghanistan","Total","Total","Asylum applicant","Person","0",""
"2009","Malta","Iraq","Total","Total","Asylum applicant","Person","5",""
"2009","Malta","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Malta","Syria","Total","Total","Asylum applicant","Person","15",""
"2009","Malta","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Netherlands","Ukraine","Total","Total","Asylum applicant","Person","20",""
"2009","Netherlands","Afghanistan","Total","Total","Asylum applicant","Person","1,400",""
"2009","Netherlands","Iraq","Total","Total","Asylum applicant","Person","2,165",""
"2009","Netherlands","Libya","Total","Total","Asylum applicant","Person","115",""
"2009","Netherlands","Syria","Total","Total","Asylum applicant","Person","130",""
"2009","Netherlands","Yemen","Total","Total","Asylum applicant","Person","10",""
"2009","Norway","Ukraine","Total","Total","Asylum applicant","Person","25",""
"2009","Norway","Afghanistan","Total","Total","Asylum applicant","Person","3,870",""
"2009","Norway","Iraq","Total","Total","Asylum applicant","Person","1,215",""
"2009","Norway","Libya","Total","Total","Asylum applicant","Person","85",""
"2009","Norway","Syria","Total","Total","Asylum applicant","Person","280",""
"2009","Norway","Yemen","Total","Total","Asylum applicant","Person","115",""
"2009","Poland","Ukraine","Total","Total","Asylum applicant","Person","35",""
"2009","Poland","Afghanistan","Total","Total","Asylum applicant","Person","15",""
"2009","Poland","Iraq","Total","Total","Asylum applicant","Person","20",""
"2009","Poland","Libya","Total","Total","Asylum applicant","Person","5",""
"2009","Poland","Syria","Total","Total","Asylum applicant","Person","5",""
"2009","Poland","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Portugal","Ukraine","Total","Total","Asylum applicant","Person","5",""
"2009","Portugal","Afghanistan","Total","Total","Asylum applicant","Person","0",""
"2009","Portugal","Iraq","Total","Total","Asylum applicant","Person","0",""
"2009","Portugal","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Portugal","Syria","Total","Total","Asylum applicant","Person","0",""
"2009","Portugal","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Romania","Ukraine","Total","Total","Asylum applicant","Person","10",""
"2009","Romania","Afghanistan","Total","Total","Asylum applicant","Person","90",""
"2009","Romania","Iraq","Total","Total","Asylum applicant","Person","90",""
"2009","Romania","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Romania","Syria","Total","Total","Asylum applicant","Person","15",""
"2009","Romania","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Sweden","Ukraine","Total","Total","Asylum applicant","Person","130",""
"2009","Sweden","Afghanistan","Total","Total","Asylum applicant","Person","1,695",""
"2009","Sweden","Iraq","Total","Total","Asylum applicant","Person","2,310",""
"2009","Sweden","Libya","Total","Total","Asylum applicant","Person","365",""
"2009","Sweden","Syria","Total","Total","Asylum applicant","Person","580",""
"2009","Sweden","Yemen","Total","Total","Asylum applicant","Person","110",""
"2009","Slovenia","Ukraine","Total","Total","Asylum applicant","Person","0",""
"2009","Slovenia","Afghanistan","Total","Total","Asylum applicant","Person","10",""
"2009","Slovenia","Iraq","Total","Total","Asylum applicant","Person","5",""
"2009","Slovenia","Libya","Total","Total","Asylum applicant","Person","0",""
"2009","Slovenia","Syria","Total","Total","Asylum applicant","Person","0",""
"2009","Slovenia","Yemen","Total","Total","Asylum applicant","Person","0",""
"2009","Slovakia","Ukraine","Total","Total","Asylum applicant","Person","15",""
